iter	Passed	Remaining
860	22287	3598
861	22315	3572
862	22339	3546
863	22367	3520
864	22393	3494
865	22419	3469
866	22448	3443
867	22473	3417
868	22500	3391
869	22526	3366
870	22553	3340
871	22578	3314
872	22605	3288
873	22631	3262
874	22657	3236
875	22686	3211
876	22714	3185
877	22742	3160
878	22764	3133
879	22791	3107
880	22817	3082
881	22846	3056
882	22873	3030
883	22898	3004
884	22924	2978
885	22948	2952
886	22975	2926
887	23001	2901
888	23027	2875
889	23054	2849
890	23080	2823
891	23107	2797
892	23133	2771
893	23159	2746
894	23183	2719
895	23207	2693
896	23233	2667
897	23258	2641
898	23284	2615
899	23310	2590
900	23336	2564
901	23362	2538
902	23388	2512
903	23413	2486
904	23441	2460
905	23465	2434
906	23492	2408
907	23515	2382
908	23542	2356
909	23568	2330
910	23593	2305
911	23619	2279
912	23649	2253
913	23676	2227
914	23701	2201
915	23727	2175
916	23751	2149
917	23776	2123
918	23802	2097
919	23829	2072
920	23856	2046
921	23881	2020
922	23906	1994
923	23930	1968
924	23956	1942
925	23981	1916
926	24008	1890
927	24026	1864
928	24052	1838
929	24072	1811
930	24098	1785
931	24124	1760
932	24150	1734
933	24176	1708
934	24203	1682
935	24229	1656
936	24256	1630
937	24282	1604
