Scenario Group	Scenario	Train	Train samples/user	Test	Test samples/user	Notes	k=1	k=2	k=3	k=4	k=5	Best Model
		[Pi, Vj, Sk] i={I}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9590	0.9727	0.9891	1.0000	1.0000	
		[Pi, Vj, Sk] i={I}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9508	0.9781	0.9809	0.9918	0.9945	
		[Pi, Vj, Sk] i={T}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9344	0.9891	0.9973	0.9973	1.0000	
		[Pi, Vj, Sk] i={T}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={3}, k={1 ,2}	2	train=122, test=122	0.8962	0.9590	0.9809	0.9918	0.9945	
		[Pi, Vj, Sk] i={T}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9617	0.9863	0.9973	0.9973	1.0000	
		[Pi, Vj, Sk] i={T}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9372	0.9781	0.9918	0.9945	1.0000	
		[Pi, Vj, Sk] i={T}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9426	0.9891	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={T}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9372	0.9672	0.9809	0.9863	0.9891	
		[Pi, Vj, Sk] i={T}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9481	0.9699	0.9836	0.9918	0.9945	
		[Pi, Vj, Sk] i={T}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9399	0.9727	0.9891	0.9891	0.9945	
