scenario_id,K,train_samples_per_user,top1_mean,top1_std,top3_mean,top3_std,top5_mean,top5_std,n_features_mean,n_features_std,n_observations,baseline_top1_mean,baseline_top1_std,baseline_top3_mean,baseline_top5_mean
1.1,24,1,0.7158469945355191,0.03884721765636666,0.9028536733454766,0.025690362932539648,0.955069823922283,0.023446543553754907,411.22222222222223,6.7728719810575795,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,25,1,0.729204614450516,0.044634456705229204,0.9119611414693382,0.03437158581324439,0.9574984820886461,0.025824129105205502,412.55555555555554,6.710114829542102,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,26,1,0.7364905889496053,0.04287584446147145,0.9210686095931998,0.02804153792047474,0.959927140255009,0.019991798151482287,418.6666666666667,6.673714223613525,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,27,1,0.7528840315725561,0.045450386364650056,0.9216757741347905,0.03193513226266929,0.9611414693381906,0.023249785863583797,422.55555555555554,8.754486029517988,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,28,1,0.7601700060716454,0.0448142107341334,0.9277474195506983,0.03158557697755037,0.9690346083788706,0.02504139724019584,426.0,10.425560305916791,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,29,1,0.74802671523983,0.03496786081443258,0.9259259259259259,0.03647887974494425,0.9690346083788706,0.02242845157117121,429.3333333333333,11.796348848429599,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,30,1,0.7619914996964178,0.029942982348672334,0.9222829386763813,0.02595720594515209,0.9641772920461444,0.0198380128050299,432.8888888888889,11.392755232816674,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,35,1,0.7704918032786885,0.04167140388867157,0.9350333940497875,0.03133001619298051,0.9763205828779599,0.017213615157161227,458.1111111111111,10.767948641627077,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,40,1,0.7935640558591378,0.043196083433931325,0.9447480267152398,0.03021027888459892,0.9757134183363692,0.01894973007377531,482.77777777777777,5.451417129329654,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,45,1,0.8008500303582271,0.04282223846702172,0.941712204007286,0.02778093592578107,0.9763205828779599,0.015306550194227065,494.0,3.562626515972126,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,50,1,0.8075288403157255,0.041069919852326296,0.9459623557984214,0.027210081575903242,0.9787492410443229,0.019190626143629735,501.22222222222223,4.602117684228322,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,55,1,0.808743169398907,0.039375775525841115,0.9447480267152398,0.022342944391511937,0.9757134183363692,0.017825456270419548,506.44444444444446,4.163331998932268,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,60,1,0.8136004857316332,0.04095791077143559,0.9447480267152398,0.02187543084768944,0.9763205828779599,0.018929517022610684,509.22222222222223,4.290717470337174,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,61,1,0.8160291438979963,0.03412567212239562,0.9489981785063752,0.024625167744223297,0.9793564055859137,0.01736859616941732,542.2222222222222,2.913276417915004,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.2,1,1,0.32786885245901637,0.07782736002123312,0.5743776563448695,0.0718154102912683,0.7103825136612022,0.05605576486984334,159.88888888888889,11.36233092734779,27,0.8312082574377656,0.03932713341273743,0.9368548876745598,0.9708561020036429
1.2,2,1,0.37219186399514265,0.06346137517956521,0.6235579842137219,0.062255493075500976,0.7486338797814207,0.05398934332561827,191.0,6.759608545789303,27,0.8312082574377656,0.03932713341273743,0.9368548876745598,0.9708561020036429
