model,experiment,random_seed,early_stopping,k_value,train_top_k_accuracy,test_top_k_accuracy,model_path,hyperparameters,timestamp
ExtraTrees,S1_vs_S2_P1,42,True,1,0.84375,0.47959183673469385,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/extratrees_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",2025-08-14_220927
ExtraTrees,S1_vs_S2_P1,42,True,2,0.9375,0.8061224489795918,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/extratrees_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",2025-08-14_220927
ExtraTrees,S1_vs_S2_P1,42,True,3,1.0,0.9897959183673469,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/extratrees_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",2025-08-14_220927
ExtraTrees,S1_vs_S2_P1,42,True,4,1.0,1.0,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/extratrees_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",2025-08-14_220927
ExtraTrees,S1_vs_S2_P1,42,True,5,1.0,1.0,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/extratrees_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",2025-08-14_220927
GradientBoosting,S1_vs_S2_P1,42,True,1,0.84375,0.35714285714285715,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/gradientboosting_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': 42, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",2025-08-14_220927
GradientBoosting,S1_vs_S2_P1,42,True,2,0.9375,0.6020408163265306,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/gradientboosting_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': 42, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",2025-08-14_220927
GradientBoosting,S1_vs_S2_P1,42,True,3,1.0,0.7857142857142857,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/gradientboosting_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': 42, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",2025-08-14_220927
GradientBoosting,S1_vs_S2_P1,42,True,4,1.0,0.8469387755102041,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/gradientboosting_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': 42, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",2025-08-14_220927
GradientBoosting,S1_vs_S2_P1,42,True,5,1.0,0.8673469387755102,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/gradientboosting_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': 42, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",2025-08-14_220927
